"Vekil, mesleğin itibarını zedeleyecek her türlü tutumdan kaçınmanın yanı sıra görevini ne şekilde kullanamaz?",Görevini kötüye kullanamaz.
"Vekilin, müvekkillerinin çıkarları doğrultusunda hizmet sunarken gözetmesi gereken temel davranış biçimi nedir?","Kendi kişisel duygularını veya çıkarlarını gözetmeksizin, objektif ve bağımsız davranmak zorundadır."
Vekilin bir işi kabul edebilmesi için başlangıçta sahip olması gereken iki temel kaynak nedir?,İş için yeterli zaman ve yetenek.
Vekillerin salt kendine iş sağlamak amacıyla muhtemel müvekkillere yaklaşırken kullanması yasak olan yöntem nedir?,Saldırgan pazarlama yöntemleri.
"Vekil; işyerinde, yazışmalarda veya tanıtım araçlarında hangi nitelikte bilgilere yer veremez?",Kamuyu yanıltacak bilgilere yer veremez.
Vekilin reklam yapma hakkına sahip olabilmesi için uyması gereken temel ilkeler nelerdir?,"Gerçeklik, tarafsızlık, dürüstlük ve meslek sırrına uygunluk."
"Vekil, hangi şart sağlanmadan müvekkilinin kimliğini reklam amacıyla açıklayamaz?",Müvekkilin açıkça izni olmaksızın açıklayamaz.
Vekilin kurumların adını ve logosunu reklamlarında kullanabilmesi için ne gereklidir?,Kurumların açıkça izninin olması gerekir.
"Vekil, hangi durumda müvekkilinin sınai mülkiyet haklarının alım satımını veya pazarlığını yapabilir?",Sadece müvekkilinin talimatı doğrultusunda yapabilir.
İnternet kullanıcılarını haksız rekabete yol açacak şekilde yönlendiren kısa yollar kullanmak vekilin hangi hakkının kapsamı dışındadır?,Reklam yapma hakkının kapsamı dışındadır.
"Vekil, müvekkilini bilgilendirme konusunda hangi üç kritere uymak zorundadır?","Zamanında, tam ve doğru bilgilendirme."
"Vekil, geçici bir süre mesleğini ifa edemeyecek duruma geldiğinde ne yapmalıdır?",Müvekkillerini derhal bilgilendirmeli ve çıkarlarını koruyacak önlemler almalıdır.
Vekilin sır saklama yükümlülüğü vekâlet ilişkisi bittikten sonra ne kadar süre devam eder?,Vekâlet ilişkisi sona erdikten sonra da devam eder.
Vekilin sır saklama sorumluluğu sadece müvekkiline karşı mıdır?,"Hayır, temsil etmediği halde kendisine bilgi vermiş olan kişilere karşı da sorumludur."
"Vekil, müvekkilinden kendi hizmeti karşılığı dışında bir ücret talep edebilir mi?","Hayır, kendi hizmeti karşılığı dışında herhangi bir ücret talep edemez."
"Vekil, üstlendiği işle ilgili müvekkiline ne tür bir beyanda bulunmaktan kaçınmalıdır?",İş veya işlemin sonucuna yönelik hiçbir taahhütte bulunamaz.
Vekilin iş ilişkilerinde uyması gereken etik değerler nelerdir?,Meslek dayanışması ve meslek onuru.
Bir vekilin meslektaşı hakkında yapması yasak olan açıklama türü nedir?,Küçük düşürücü nitelikteki açıklamalar.
"Vekil, bir meslektaşının mesleki tutumu hakkındaki düşüncelerini kamuoyuna açıklayabilir mi?","Hayır, bu konudaki şikayetlerin tek mercii Kurumdur (TÜRKPATENT)."
"Vekil, başka bir vekilin takibindeki bir dosya hakkında hangi durumda dosya sahibiyle görüş alışverişinde bulunabilir?",Dosya sahibinin bağımsız görüş alma veya vekil değiştirme isteğini açıkça beyan etmesi durumunda.
Başka bir vekilden dosya devralan yeni vekilin ilk yükümlülüğü nedir?,Halihazırdaki vekile yazı ile bilgi vermek.
Dosya takibi görevinden ayrılan vekilin yeni vekile karşı sorumluluğu nedir?,Dosyanın takibi için gerekli tüm belgeleri gecikmeden yeni vekile iletmek.
"Vekil, yanında çalışan ve sınai mülkiyet alanında uzmanlaşacak personeline karşı hangi görevi üstlenir?",Doğru ve uygun şekilde eğitilmeleri görevini üstlenir.
"Vekil, Kurum çalışanları ile olan ilişkilerinde hangi kurallara uymalıdır?",Meslek onuru ve nezaket kurallarına uymalıdır.
"Vekil, Kurum (TÜRKPATENT) adına yazılı veya sözlü açıklama yapabilir mi?","Hayır, vekil Kurum adına hiçbir açıklamada bulunamaz."
"Gerçek kişi bir vekil, vekillik yetkisini aynı anda kaç tüzel kişi vekili temsilen kullanabilir?",Sadece tek bir tüzel kişi vekili temsilen kullanabilir.
"Vekillik yetkisini bir tüzel kişiyi temsilen kullanan gerçek kişi vekil, ayrıca bireysel olarak vekillik yapabilir mi?","Hayır, bu şekilde yetki kullananlar gerçek kişi vekil olarak ayrıca vekillik yapamazlar."
"Vekil, müvekkilinin çıkarlarını korurken hangi temel prensibe göre bağımsız davranmalıdır?",Objektiflik prensibine göre.
"Vekil, yeteneklerinin yetmediğini bildiği bir işi kabul edebilir mi?","Hayır, bu tür işleri en baştan reddetmelidir."
"Sınai mülkiyet haklarının pazarlığını yapmak, müvekkilin hangi onayı olmadan yasaktır?",Müvekkilin talimatı olmadan yapılamaz.
Vekilin meslektaşları hakkındaki şikayetlerini iletebileceği tek yetkili mercii neresidir?,Türk Patent ve Marka Kurumu.
Vekilin reklam hakkı kapsamında yasaklanan internet davranışlarından biri nedir?,Haksız rekabete yol açacak internet kısa yolları veya yönlendirmeler kullanmak.
"Vekil, hizmetlerini geri çekmek istediğinde müvekkiline karşı ilk sorumluluğu nedir?",Müvekkili derhal bilgilendirmek.
Vekillik meslek kuralları hangi kanuni dayanakla belirlenmiştir?,Patent Vekilleri ve Marka Vekilleri Meslek Kuralları ve Disiplin Yönetmeliği.
