"Faydalı modelin hükümsüzlüğü davası, hak sahibinin bu hakkı isteme hakkına sahip olmadığı gerekçesiyle kimler tarafından açılabilir?",Sadece buluşu yapan veya halefleri tarafından açılabilir.
"Faydalı modelin hükümsüzlüğü davası, hakkın sona ermesini izleyen en fazla kaç yıl içinde açılabilir?",Beş yıl içinde açılabilir.
Faydalı modelin hükümsüzlüğü davası kime karşı açılır?,Sicile faydalı model sahibi olarak kayıtlı kişiye karşı açılır.
Faydalı modelin sadece bir bölümüne ilişkin hükümsüzlük nedenleri varsa mahkeme nasıl bir karar verir?,Sadece o bölümü etkileyen istemlerin iptali suretiyle kısmi hükümsüzlüğe karar verir.
Faydalı modellerde tek bir istemin kısmen hükümsüzlüğüne karar verilebilir mi?,"Hayır, bir istemin kısmen hükümsüzlüğüne karar verilemez."
Faydalı modele ilişkin açık bir hüküm bulunmayan hallerde hangi hükümler uygulanır?,Kanunda patentler için öngörülen hükümler uygulanır.
Aynı kişiye aynı buluş konusunda aynı koruma kapsamıyla hem patent hem de faydalı model verilebilir mi?,"Hayır, birbirinden bağımsız olarak birden fazla belge verilmez (Çifte koruma yasağı)."
Kurum nezdindeki işlemlerde Kanunda belirtilmemişse genel süre ne kadardır?,Bildirim tarihinden itibaren iki aydır.
Sınai mülkiyet hakkı sahiplerinin ortak temsilci atamadığı durumlarda kim ortak temsilci kabul edilir?,Başvuru formunda adı geçen ilk hak sahibi.
Ortak temsilcinin yerleşim yeri Türkiye dışında ise işlemler nasıl yürütülür?,Marka veya patent vekili vasıtasıyla yürütülür.
"Hangi sınai mülkiyet hakları lisans, devir veya haciz gibi hukuki işlemlere konu olamaz?",Coğrafi işaret ve geleneksel ürün adı hakları.
Sınai mülkiyet hakkı paydaşlarından birinin payını satması halinde diğer paydaşların hangi hakkı doğar?,Önalım hakkı (şufa hakkı).
"Sınai mülkiyet paydaşlarının önalım hakkı, satışın bildirilmesinden itibaren ne kadar sürede düşer?",Üç ay içinde düşer.
"Sınai mülkiyet paydaşlarının önalım hakkı, satışın üzerinden her halde ne kadar süre geçmekle düşer?",İki yıl geçmekle düşer.
Sınai mülkiyet haklarında devir sözleşmelerinin geçerlilik şartı nedir?,Noter tarafından onaylanmış şekilde yapılmış olmaları.
Sicile kaydedilmeyen sınai mülkiyet hukuki işlemleri kimlere karşı ileri sürülemez?,İyiniyetli üçüncü kişilere karşı ileri sürülemez.
"Marka, tescil edildiği mal veya hizmetlerin sadece bir kısmı için devredilebilir mi?","Evet, tümü veya bir kısmı için devredilebilir."
Garanti markasının veya ortak markanın devri ne zaman geçerlilik kazanır?,Sicile kayıt edildiği tarihte geçerli olur.
Sınai mülkiyet hakkı tecavüze uğrayan kişinin muhtemel tecavüze karşı talebi ne olabilir?,Muhtemel tecavüzün önlenmesini talep edebilir.
Tecavüz teşkil eden ürünlerin imhası hangi şartla talep edilebilir?,Tecavüzün önlenmesi için kaçınılmaz ise imhası istenebilir.
Tecavüz davasında kesinleşmiş kararın ilan edilmesi talebi en geç ne zaman yapılmalıdır?,Kararın kesinleşmesinden sonra üç ay içinde talep edilmelidir.
Coğrafi işaret ve geleneksel ürün adları bakımından hangi tazminat türü talep edilemez?,Manevi zararın tazmini talep edilemez.
Sınai mülkiyet hakkının itibarı tecavüz nedeniyle zarara uğrarsa hak sahibi ne talep edebilir?,İtibar tazminatı talep edebilir.
Sınai mülkiyet haklarında hak sahibinin uğradığı zarar neleri kapsar?,Fiili kaybı ve yoksun kalınan kazancı kapsar.
Yoksun kalınan kazanç hesabında tecavüz edenin elde ettiği kazanç usulü nedir?,Sınai mülkiyet hakkına tecavüz edenin elde ettiği net kazançtır.
"Mahkeme, patent sahibinin patenti kullanma yükümlülüğünü yerine getirmediğini tespit ederse kazancı nasıl hesaplar?",Varsayımsal lisans bedeli usulüne göre hesaplar.
Coğrafi işaret veya geleneksel ürün adına tecavüz halinde yoksun kalınan kazanç hükümleri uygulanır mı?,"Hayır, bu madde hükmü coğrafi işaret ve geleneksel ürün adlarında uygulanmaz."
"Hakkın tüketilmesi ilkesi uyarınca, sınai mülkiyet hakkı koruması ne zaman sona erer?",Ürünlerin hak sahibi veya izniyle piyasaya sunulmasından sonra.
"Marka sahibi, piyasaya sürülmüş ürünlerin hangi durumda ticari amaçlı kullanılmasını önleyebilir?",Ürünlerin değiştirilerek veya kötüleştirilerek kullanılması durumunda.
"Sınai mülkiyet hakkı sahibi, tecavüzlü ürünleri kişisel ihtiyacı için kullanan kişilere karşı dava açabilir mi?","Hayır, bu kişilere karşı hukuk veya ceza davası açamaz."
Tecavüzün mevcut olmadığına ilişkin dava açmadan önce hak sahibine tanınan cevap süresi nedir?,Bildirimin tebliğinden itibaren bir aydır.
"Tecavüzün mevcut olmadığına ilişkin dava, kime karşı açılamaz?",Kendisine karşı tecavüz davası açılmış bir kişi tarafından açılamaz.
"Tecavüz davasında, sanık kendi adına kayıtlı daha sonraki tarihli bir hakkı savunma gerekçesi yapabilir mi?","Hayır, önceki tarihli hak sahibine karşı kendi hakkını savunma olarak ileri süremez."
