"Kurumun itirazı kısmen kabul ettiği kararlarda, itiraz ücretinin iadesi yapılır mı?","Hayır, iade işlemi yapılmaz."
Coğrafi işaret veya geleneksel ürün adı tescil başvurusu hangi yöntemle yapılmalıdır?,Elektronik ortamda form doldurularak Kuruma sunulması suretiyle yapılır.
Elektronik ortam dışındaki farklı usullerle sunulan coğrafi işaret başvurularının akıbeti ne olur?,İşlemden kaldırılır.
Coğrafi işaret başvurusu yapan gerçek veya tüzel kişinin ürünün tek üreticisi olması durumunda ne yapması gerekir?,Bu hususu ispatlayan bilgi ve belgeleri sunması gerekir.
"Mahreç işareti başvurularında, ürünün hangi işlemlerinin belirlenmiş coğrafi alan içinde yapılacağı açıklanmalıdır?","Üretimi, işlenmesi ve ürüne ilişkin diğer işlemler."
Coğrafi işaret tesciline konu olan ürünün niteliği veya ünü ile coğrafi alan arasındaki bağlantı nasıl kanıtlanır?,Bilgi ve belgelerle kanıtlanması zorunludur.
Geleneksel ürün adı başvurularında hammadde ve hazırlama tekniklerini içeren doküman hangisidir?,Üretim metodu.
Yabancı ülke kaynaklı başvurularda Latin alfabesi dışındaki harfler için ne talep edilir?,Latin alfabesindeki karşılığı ve varsa Türkçe çevirisi.
Ürün grupları arasında yer alan 'Bal' hangi kategori başlığına girer?,Kendi başına (h) bendi altında müstakil bir ürün grubudur.
Coğrafi işaret başvurularında başvuruyu yapanın kimliğine ilişkin eksikliklerin giderilmesi için ne kadar süre verilir?,Bir ay.
Başvuru yapanın kimliği dışındaki eksikliklerin giderilmesi için Kurum tarafından verilen standart süre nedir?,Üç ay.
Başvurudaki teknik eksikliklerin giderilmesi için en fazla kaç kez ek süre talep edilebilir?,İki defa.
Kimlik bilgilerindeki eksikliğin süresinde giderilmemesi durumunda başvurunun durumu ne olur?,Başvuru yapılmamış sayılır.
Kurumun 'başvurunun yapılmamış sayılmasına' dair kararına karşı Kanunun 40. maddesi kapsamında itiraz edilebilir mi?,"Hayır, bu karar Kurumun nihai kararıdır ve itiraza konu olamaz."
"Kurum, başvuru kapsamında sunulan teknik bilgiler için ilgili kuruluşlardan ne kadar sürede görüş talep eder?",Bir ay.
İnceleme sonucunda uygun bulunan coğrafi işaret başvuruları nerede yayımlanır?,Bültende yayımlanır.
"Yabancı ülke kaynaklı başvurularda, ürünün kaynak ülkede korunduğuna dair hangi belge sunulmalıdır?",Resmi belgenin aslı veya onaylı sureti ile yeminli tercüman onaylı Türkçe çevirisi.
"Yabancı kaynaklı bir ad Türkiye'de korunan bir isimle aynıysa, incelemede hangi risk göz önünde bulundurulur?",Tüketici tarafından birbiriyle karıştırılma riski.
Karıştırılma riski olan yabancı coğrafi işaretlerin kullanımına hangi şartla izin verilir?,Üretildiği kaynak ülkenin açık ve görülebilir şekilde belirtilmesi halinde.
Coğrafi işaret başvurusunun Bültendeki yayımı ile tescil sicili arasındaki temel fark nedir?,"Bülten yayımı başvuruyu duyurur, sicil kaydı tescil belgesi bilgilerini içerir."
"Başvuru sahibi, reddedilen başvurusu için bildirimden itibaren ne kadar sürede itiraz edebilir?",İki ay.
Üçüncü kişilerin tescil talebine itiraz etmek için Bültendeki yayım tarihinden itibaren ne kadar süresi vardır?,Üç ay.
İtiraz incelemesi sırasında Kurum tarafları hangi sürece davet edebilir?,Uzlaşma.
Taraflar uzlaşma teklifine ne kadar süre içinde cevap vermelidir?,Bir ay.
Tarafların arabulucuya başvuracaklarını bildirmeleri halinde itiraz incelemesi ne kadar ertelenir?,Üç ay.
"İtirazın incelenmesi sonucunda başvuruda değişiklik yapılırsa, bu değişikliğe karşı tekrar itiraz edilebilir mi?","Hayır, bu yayıma itiraz edilemez."
Bültendeki üç aylık ilan süresinde itiraz gelmezse tescil ücreti ne kadar sürede ödenmelidir?,İki ay.
Tescilli bir coğrafi işaretin özelliklerinde teknolojik gelişmelere bağlı olarak ne talep edilebilir?,Değişiklik talebi.
"Değişiklik talebinde bulunan kişi tescil ettiren değilse, Kurum kimden görüş ister?",Tescil ettirenden.
Kesinleşen ve sicile kaydedilen değişiklikler en geç ne kadar süre içinde uygulanmalıdır?,Bir yıl.
Tescil ettirenin şartları sağlamadığı mahkemece karara bağlanırsa bu durum nerede yayımlanır?,Bültende yayımlanır.
Tescil ettiren değişikliği için talep olmaması durumunda coğrafi işaret hakkına ne olur?,Hakkı sona erer ve sicilden terkin edilir.
"Tedarik zincirinde yer alan üreticiler, faaliyete başladıktan sonra ne kadar süre içinde tescil ettirene bildirim yapmalıdır?",Altı ay.
Hangi faaliyet kolunda bulunanların tescil ettirene bildirim yapma zorunluluğu yoktur?,Yalnızca satış faaliyetinde bulunanların.
Coğrafi işaretler bakımından amblemin ürün üzerinde kullanılması _____?,Zorunludur.
Geleneksel ürün adının amblemsiz kullanımı Yönetmelik hükümlerine tabi midir?,"Hayır, tabi değildir."
Amblem ürünün üzerine doğası gereği konulamıyorsa nerede bulundurulmalıdır?,İşletmede kolayca görülecek şekilde.
Denetim faaliyeti kim tarafından yerine getirilir?,Kurum tarafından yeterliliği onaylanan sicilde kayıtlı denetim mercii.
Denetim mercii denetim sırasında neyin kullanımını da kontrol etmekle yükümlüdür?,Amblemin kullanımını.
Denetim raporları Kuruma ne kadar sürede bir sunulmalıdır?,Yılda bir.
Denetim raporlarındaki eksikliklerin giderilmesi için tescil ettirene ne kadar süre tanınır?,Altı ay.
"Tescil ettiren, denetim masraflarını kimden talep edebilir?",Denetlenenlerden.
Tescil ettiren haklarından vazgeçmek isterse bu talep nerede ilan edilir?,Bültende.
Vazgeçme yayımından sonra tescil ettiren değişikliği talebi için öngörülen süre nedir?,Üç ay.
Vazgeçme talebi ne zaman hüküm doğurur?,Sicile kayıt tarihi itibarıyla.
Tasarım tescili için başvuru tarihi neyi ifade eder?,Başvuru formu ve belgelerin Kurum tarafından alındığı tarihi.
Tasarım başvurusunda tasarımın görünümünü yansıtan unsura ne ad verilir?,Görsel anlatım.
Tasarım başvurusunda tasarımcının isminin gizli tutulması mümkün müdür?,"Evet, talep edilmesi halinde gizli tutulabilir."
Tasarımcı kimdir?,Korumaya konu olan tasarımı tasarlayan kişidir.
Tasarım başvurusu kapsamında sunulan görsel anlatımların boyutları ne olmalıdır?,"En az $8 \times 8$ cm, en fazla $16 \times 16$ cm."
Tasarım başvurusunda 'tarifname' sunulması zorunlu mudur?,"Hayır, isteğe bağlıdır."
Tasarım başvurusunda yayımın ertelenmesi talep edilebilir mi?,"Evet, yayım erteleme talebi yapılabilir."
Coğrafi işaretlerde denetim raporlarının sunulma süresi ne zaman başlar?,Tescilin Bültende yayımlandığı tarihte.
Geleneksel ürün adı için 'menşe adı' veya 'mahreç işareti' ayrımı kullanılır mı?,"Hayır, bu ayrım sadece coğrafi işaretler için geçerlidir."
Tasarım başvurusunda tescil isteme hakkının nasıl elde edildiği belirtilmeli midir?,"Evet, başvuru sahibi tasarımcı değilse bu bilgi verilmelidir."
İnceleme sonucunda reddedilen coğrafi işaret başvuruları hakkında bilgi nerede yayımlanır?,Bültende.
Uzlaşma tutanağı hazırlandıktan sonra en geç ne kadar süre içinde Kuruma verilmelidir?,Bir ay.
Hangi ürün grubu 'Dondurmalar ve yenilebilir buzlar'ı kapsar?,"Madde 35, 5. fıkra, (ç) bendi kapsamındaki ürün grubudur."
Coğrafi alanın sınırlarını gösteren harita hangi başvurularda sunulmalıdır?,Coğrafi işaret başvurularında gerekli hallerde sunulur.
"Kurul, itiraz incelemesi sırasında talep ettiği ek belgelerin ne kadar sürede sunulmasını ister?",Bir ay.
Coğrafi işaret tescil belgesinde yer alan 'tür' bilgisi neyi ifade eder?,Menşe adı veya mahreç işareti olduğu bilgisini.
Geleneksel ürün adı tescil belgesinde coğrafi sınır bilgisi yer alır mı?,"Hayır, geleneksel ürün adlarında coğrafi sınır tescil şartı değildir."
Tescilli ürünlerin sicildeki bilgilerinde hata bulunması durumunda ne yapılabilir?,Menfaati bulunanlar tarafından değişiklik talebi yapılabilir.
Tescil ettiren değişikliği talebinde birden fazla istekli varsa Kurum neye göre karar verir?,Denetim etkinliği ve üreticileri temsil yeteneği gibi kriterlere göre.
Üreticilerin tescil ettirene yaptığı bildirimlerin listesi neden tutulur?,Yapılacak denetimlere esas teşkil etmesi için.
Denetim raporu eksiklikleri 6 ayda giderilmezse hangi madde uygulanır?,Kanunun 43. maddesi (Hakkın sona ermesi veya tescil ettiren değişikliği).
Tasarım başvuru ücreti ödenmediğine dair bilgi eksikse Kurum ne yapar?,Başvuruyu işlemden kaldırır.
Tasarımcı grubunda yer alan kişilerin bilgileri nerede yer alır?,"Sicilde, rüçhan belgelerinde ve Bülten yayımında."
Arabuluculuk sürecinde geçen süre hak düşürücü sürenin hesabında dikkate alınır mı?,"Hayır, dikkate alınmaz."
Ürünlerin tescile konu özelliklerine etkisi bulunan tedarikçiler kime bildirim yapar?,Tescil ettirene.
Denetim tutanağının kaç nüshası hazırlanır ve kimlerde kalır?,İki nüsha hazırlanır; biri denetim merciinde diğeri denetlenende kalır.
"Tescil ettiren, denetim sonuçlarına göre tescile aykırılık bulursa ne yapmalıdır?",Gerekli yasal yollara başvurmalıdır.
Vazgeçme talebi vekil aracılığıyla yapılıyorsa hangi ek belge istenir?,Vazgeçme yetkisini içeren noter onaylı vekâletname.
Tasarım başvurusunda rüçhan hakkı talebi varsa bu durum başvuruda belirtilmeli midir?,"Evet, varsa rüçhan hakkına ilişkin bilgiler yer almalıdır."
Coğrafi işaret tescil belgesindeki 'numara' neyi ifade eder?,Tescil numarasını.
