Sınai Mülkiyet Kanununun Uygulanmasına Dair Yönetmeliğin temel amacı nedir?,"Marka, coğrafi işaret, tasarım, patent, faydalı model ve geleneksel ürün adlarına ilişkin hakların belge verilerek korunması ve ilgili işlemlerin usul ve esaslarını düzenlemektir."
"Coğrafi işaretler bakımından kullanılması zorunlu olan, ürün veya ambalaj üzerinde yer alan işarete ne ad verilir?",Amblem
Genetik bilgi içeren ve kendi kendine üreyebilen her türlü maddeye ne denir?,Biyolojik materyal
"Marka, tasarım, coğrafi işaret ve geleneksel ürün adlarında hak sahiplerini Kurum nezdinde temsil eden kişilere ne ad verilir?",Marka vekili
"Patent, faydalı model ve tasarım haklarına ilişkin konularda hak sahiplerini Kurum nezdinde temsil eden kişilere ne ad verilir?",Patent vekili
Sınai mülkiyet hakkı kavramı hangi unsurları kapsar?,"Marka, coğrafi işaret, tasarım, patent ve faydalı model."
Marka tescili için Kuruma başvuruda bulunabilecek kişiler kimlerdir?,Sınai Mülkiyet Kanunu'nun 3 üncü maddesi kapsamındaki gerçek veya tüzel kişiler.
Bir marka başvurusunun geçerli sayılması için başvuru formunun hangi ortamda doldurulması zorunludur?,Elektronik ortam
Marka başvuru formunda mal veya hizmetlerin hangi sınıflandırma sistemine göre düzenlenmesi gerekir?,Nis Anlaşması
Ses markası tescil talebinde Kuruma sunulması gereken zorunlu materyal nedir?,İşaretin elektronik ortamda dinlemeye ve saklamaya elverişli kaydı.
Üç boyutlu marka başvurularında işaretin en fazla kaç farklı açıdan görünümü sunulabilir?,6
Renk markası başvurularında Kurum tarafından geçerliliği kabul edilen hangi bilginin belirtilmesi zorunludur?,Renk kodu
Hareket markası başvurularında Kuruma sunulması gereken temel materyal nedir?,Hareketi tasvir eden bir görüntü veya hareketsiz/hareketli görüntü dizisi.
Kurum tarafından tespit edilen marka örneği veya gösterim eksikliklerinin giderilmesi için verilen süre ne kadardır?,2 ay
Marka başvuru tarihinin kesinleşmesi için asgari hangi dört unsurun Kuruma verilmiş olması gerekir?,"Kimlik bilgileri içeren imzalı form, marka örneği, mal/hizmet listesi ve başvuru ücretinin ödendiğine dair bilgi."
Birden fazla sınıf içeren başvurularda ilave sınıf ücreti eksikliğinin giderilmesi için tanınan süre nedir?,2 ay
Ortak marka veya garanti markası başvurularında sunulması zorunlu olan ek belge nedir?,Teknik şartname
Teknik şartname eksikliklerinin giderilmesi için başvuru sahibine tanınan süre ne kadardır?,6 ay
Mal veya hizmet listesindeki genel tabirlerin açıklanması için Kurumun verdiği süre ne kadardır?,2 ay
