Sınai Mülkiyet Kanununun Uygulanmasına Dair Yönetmelik'in temel amacı nedir?,"Marka, coğrafi işaret, tasarım, patent, faydalı model ve geleneksel ürün adlarına ilişkin hakların korunması ile bu işlemlerdeki usul ve esasları düzenlemektir."
Yönetmelikte geçen 'Amblem' terimi neyi ifade eder?,Coğrafi işaret ve geleneksel ürün adlarının tescil edildiğini gösteren ve ürün üzerinde kullanılması zorunlu olan işareti.
Genetik bilgi içeren ve kendi kendine üreyebilen maddelere ne ad verilir?,Biyolojik materyal.
Madrid Protokolü hangi sınai mülkiyet hakkının uluslararası tescili ile ilgilidir?,Marka.
Patent İşbirliği Antlaşması (PCT) hangi hakların uluslararası başvuru sistemini kurar?,Patent.
Sınai mülkiyet hakları ile geleneksel ürün adlarına ilişkin kayıtların yer aldığı ortama ne denir?,Sicil.
Marka başvurusu için Kuruma sunulması gereken temel form formatı nasıldır?,Kurum tarafından geçerli kabul edilen başvuru formunun elektronik ortamda doldurulmuş hali.
Nice Anlaşması'na göre marka başvurusunda belirtilmesi zorunlu olan bilgi nedir?,Mal veya hizmetlerin sınıf numaraları ve buna uygun düzenlenmiş liste.
Marka başvurusunda Latin alfabesi dışında harf kullanılması durumunda ne yapılmalıdır?,Bu harflerin Latin alfabesindeki karşılığı başvuru formunda belirtilmelidir.
Marka örneğinde ses markası tescili talep ediliyorsa hangi ek unsur sunulmalıdır?,İşaretin elektronik ortamda dinlemeye ve saklamaya elverişli kaydı.
Üç boyutlu marka başvurularında görünüm sunumu için belirlenen üst sınır kaçtır?,En fazla altı farklı açıdan görünüm.
Renk markası tescilinde renk kodunun yanı sıra neyin sunulması zorunludur?,İşareti oluşturan renk görseli.
Hareket markası başvurusu için Kuruma sunulması gereken materyal nedir?,Hareketi tasvir eden bir görüntü veya hareketli görüntü dizisi.
Kurumun marka örneği gösterimi ile ilgili eksiklikleri gidermek için verdiği süre ne kadardır?,İki ay.
Marka başvurusunda başvuru tarihinin kesinleşmesi için hangi dört unsurun eksiksiz olması gerekir?,"Kimlik bilgileri, imza, marka örneği, mal/hizmet listesi ve başvuru ücretinin ödendiğine dair bilgi."
Marka başvurusunda rüçhan hakkı belgesinin aslı ve Türkçe tercümesi başvuru tarihinden itibaren ne kadar sürede sunulmalıdır?,Üç ay.
Ortak marka teknik şartnamesinde belirtilmesi zorunlu olan üyelik şartları kime yöneliktir?,Markayı kullanmaya yetkili olan işletmelere.
Garanti markası teknik şartnamesinde denetimle ilgili hangi bilgi yer almalıdır?,Denetimlerin nasıl ve hangi sıklıkta yapılacağı.
Muvafakatnamenin noter onaylı olması şart mıdır?,"Evet, muvafakatnamenin noter tarafından onaylanması zorunludur."
Muvafakatname Kuruma sunulduktan sonra geri alınabilir mi?,"Hayır, muvafakatname Kuruma sunulduktan sonra geri alınamaz."
Bültende yayımlanan marka başvurusuna yayımdan itibaren ne kadar süre içinde itiraz edilebilir?,İki ay.
Marka tescil ücretinin ödenmesi için Kurum tarafından verilen süre ne kadardır?,İki ay.
Tescilli markaların bölünmesi mümkün müdür?,"Hayır, tescilli markalar bölünemez; bölünme sadece başvuru aşamasında mümkündür."
Marka yenileme talebi kapsamında aynı anda kaç marka için yenileme istenebilir?,Tek bir yenileme talebiyle sadece tek bir marka yenilenebilir.
Marka başvurusunun geri çekilmesi durumunda başvuru ücreti iade edilir mi?,"Hayır, başvuru ücreti iade edilmez."
Marka kullanımının ispatı talebi hangi aşamada ileri sürülebilir?,"Yayıma itiraz sürecinde, başvuru sahibinin görüşünü sunması gereken süre içinde."
Kullanımın ispatı için delil sunulması amacıyla itiraz sahibine verilen süre ne kadardır?,Bir ay.
Marka kullanım delili olarak sunulan belgeler yabancı dilde ise ne yapılmalıdır?,Kurum talebi üzerine yeminli tercüman onaylı Türkçe tercümesi sunulmalıdır.
"Kurum kararlarına karşı itiraz süresi, kararın bildiriminden itibaren ne kadardır?",İki ay.
Uzlaşma sürecinde taraflar arabulucuya başvuracaklarını bildirirse itiraz incelemesi ne kadar ertelenir?,Üç ay.
Coğrafi işaret başvurusu yapan gerçek veya tüzel kişinin ürünün tek üreticisi olması durumunda ne yapması gerekir?,Bu hususu ispatlayan bilgi ve belgeleri sunması gerekir.
Mahreç işareti başvurularında hangi işlemlerin coğrafi alan içinde yapılması gerektiği açıklanmalıdır?,"Üretim, işleme ve ürüne ilişkin diğer işlemler."
Geleneksel ürün adı başvurusu için ürünün hangi tarihsel özelliğe sahip olması gerekir?,En az otuz yıl süreyle geleneksel olarak kullanıldığını kanıtlayan bilgi ve belgeler.
Coğrafi işaret başvurularında Kurum'un teknik görüş talep ettiği kurumlar bu görüşü kaç ay içinde göndermelidir?,Bir ay.
Coğrafi işaret başvurusu yayımlandıktan sonra üçüncü kişilerin itiraz süresi ne kadardır?,Üç ay.
Kesinleşen coğrafi işaret değişiklikleri ilgililer tarafından en geç ne kadar sürede uygulanmalıdır?,Yayım tarihinden itibaren en geç bir yıl içinde.
Coğrafi işaret ambleminin kullanımı zorunlu mudur?,"Evet, coğrafi işaretler bakımından amblem kullanılması zorunludur."
Coğrafi işaret denetim raporları Kuruma hangi sıklıkla sunulmalıdır?,Yılda bir.
Tasarım başvuru tarihi nasıl kesinleşir?,Başvuru formunun ve gerekli bilgi/belgelerin Kurum tarafından alındığı tarihtir.
Tasarım koruması talep edilmeyen kısımlar çizimde nasıl gösterilir?,Noktalı veya kesikli çizgilerle.
Tasarım görsel anlatımlarının boyut sınırları nedir?,"En az $8 \times 8$ cm, en fazla $16 \times 16$ cm."
Tasarımcı isminin gizli tutulmasını talep edebilir mi?,"Evet, tasarımcı adının gizli tutulmasını talep edebilir."
Tasarım yayım erteleme talebi en fazla ne kadar süre için yapılabilir?,Otuz ay.
Çoklu tasarım başvurusu en fazla kaç adet tasarım içerebilir?,Yüz adet.
Tescil edilen bir tasarıma karşı yayımdan itibaren itiraz süresi ne kadardır?,Üç ay.
Patent başvurusunda buluşun sanayiye nasıl uygulanacağını gösteren belge hangisidir?,Tarifname.
İstemler bölümü patent başvurusunda hangi işlevi görür?,Korunması istenen buluşun kapsamını belirler.
Patent özet metni tercihen en fazla kaç kelimeden oluşmalıdır?,150 kelime.
Buluşu en iyi karakterize eden kimyasal formül başvurunun hangi bölümünde yer almalıdır?,Özet bölümünde.
Patent başvurusunda dizi listesi hangi standartlara uygun hazırlanmalıdır?,Dünya Fikri Mülkiyet Teşkilatının (WIPO) yürürlükteki standartlarına.
Budapeşte Anlaşması hangi tür materyallerin tevdi edilmesi ile ilgilidir?,Mikroorganizmalar (Biyolojik materyaller).
Biyolojik materyal örneği alan kişi bu materyali hangi amaçla kullanmayı taahhüt etmelidir?,Yalnızca deneysel amaçlı kullanmayı.
Bölünmüş patent başvurularında başvuru tarihi olarak hangi tarih esas alınır?,İlk başvurunun başvuru tarihi.
Ek patent başvurularında koruma süresi ne zamana kadar devam eder?,Asıl patentin süresinin bitimine kadar.
Ek patentler için yıllık ücret ödenmesi gerekir mi?,"Hayır, ek patent ve ek patent başvuruları için yıllık ücret ödenmez."
Patent başvuru evraklarının kenar boşlukları sol taraftan en az kaç cm olmalıdır?,"2,5 cm."
Tarifname ve istemlerdeki satırlar tercihen kaç satırda bir numaralandırılır?,Her beş satırda bir.
Patent araştırma talebi başvuru tarihinden itibaren en geç ne zaman yapılmalıdır?,On iki ay içinde.
Patent başvurusu kural olarak ne zaman yayımlanır?,Başvuru veya rüçhan tarihinden itibaren on sekiz ay dolunca.
Araştırma raporu bildiriminden itibaren inceleme talebi süresi ne kadardır?,Üç ay.
İnceleme aşamasında patent verilmemesi yönündeki bildirimlerin sayısı en fazla kaç olabilir?,Üç.
"Verilen bir patente karşı itiraz süresi, tescil kararının yayımından itibaren ne kadardır?",Altı ay.
Patent yıllık ücretleri başvuru tarihinden itibaren kaçıncı yıldan itibaren ödenmeye başlanır?,Üçüncü yıldan itibaren.
Yıllık ücreti vadesinde ödenmeyen bir patent için ek ücretle ödeme süresi ne kadardır?,Altı ay.
Patent hakkı sona erdikten sonra telafi ücreti ile yeniden geçerlilik kazanma süresi nedir?,Sona erme bildiriminden itibaren iki ay.
Patent başvurusundan faydalı model başvurusuna dönüşüm en geç ne zamana kadar talep edilebilir?,İnceleme aşamasındaki son bildirim cevap süresi bitimine kadar.
"Hakların yeniden tesisi talebi, uyulamayan sürenin bitiminden itibaren en geç ne kadar sürede yapılabilir?",Bir yıl.
"Patent kullanım zorunluluğu süresi, tescil yayımından itibaren kaç yıldır?",Üç yıl.
Çiftçi istisnası kapsamında patentli hayvanların ticari amaçla satışı mümkün müdür?,"Hayır, çiftçi sadece kendi tarım etkinliğini sürdürme amacıyla çoğaltma yapabilir; ticari satış kapsama girmez."
Faydalı model başvurusu için araştırma talebi ne zaman yapılmalıdır?,Şekli şartlara uygunluk bildiriminden itibaren iki ay içinde.
Faydalı model araştırma raporuna itiraz veya görüş sunma süresi ne kadardır?,Üç ay.
Vekâletname eksikliğinin giderilmesi için Kurum tarafından vekile verilen süre ne kadardır?,İki ay.
Sınai mülkiyet haklarının devrinin Sicil'e kaydedilmesi için hangi belgenin sunulması zorunludur?,Devir sözleşmesi.
Marka veya tasarımın rehni tescil tarihini etkiler mi?,"Hayır, rehin sadece hakkın tasarruf yetkisini etkiler, koruma süresini değiştirmez."
Unvan ve adres değişiklikleri Sicil'e kaydedilmeli midir?,"Evet, bu değişikliklerin Sicil'e kaydedilmesi için Kuruma başvurulması gerekir."
Miras yoluyla intikal işlemi hangi sınai mülkiyet hakkı için uygulanmaz?,Coğrafi işaret.
Kurumun şekli eksiklikler için verdiği genel süre ne kadardır?,İki ay.
Gerçeğe aykırı beyanla çevrim içi işlem yapan kişinin sorumluluğu nedir?,Her türlü hukuki ve cezai sorumluluğu üstlenmiş sayılır.
Henüz yayımlanmamış bir marka başvurusu hakkında üçüncü kişilere bilgi verilebilir mi?,"Hayır, bilgiler ancak Bültende yayımın ardından verilebilir."
Patent rüçhan süresi kaç aydır?,On iki ay.
