Coğrafi işaret veya geleneksel ürün adı başvuruları Kuruma hangi yöntemle yapılmalıdır?,Elektronik ortamda doldurulan geçerli bir formun sunulması suretiyle yapılır.
Elektronik ortam dışında farklı bir usulle yapılan coğrafi işaret başvurularının akıbeti ne olur?,İşlemden kaldırılır ve talep halinde alınan ücret iade edilir.
Coğrafi işaret başvurusunda ürünün hangi teknik özelliklerinin açıklanması zorunludur?,"Fiziksel, kimyasal, mikrobiyolojik ve duyusal özellikler."
"Mahreç işareti başvurularında, üretim sürecine dair hangi ek bilginin sunulması gerekir?",Belirlenmiş coğrafi alan sınırları içinde yapılması gereken işlemlerin açıklaması.
Coğrafi işaret tesciline konu olan ürünün niteliği veya ünü ile coğrafi alan arasındaki bağlantı nasıl belgelenmelidir?,Bu bağı kanıtlayan bilgi ve belgelerin başvuru kapsamında sunulması zorunludur.
"Geleneksel ürün adı başvurusu kapsamında, ürün içeriğindeki hammaddelerin yanı sıra hangi teknik açıklanmalıdır?",Ürün karakteristiğine işaret eden hazırlama tekniklerini içeren üretim metodu.
"Yabancı ülke kaynaklı başvurularda, tescil edilecek ibare Latin alfabesi dışında ise ne sunulmalıdır?",İbarenin Latin alfabesindeki karşılığı ve varsa Türkçe çevirisi.
"Kanunun 37. maddesi kapsamında, tescilden doğan hakkı genişletici şekilde kullanılamayan 'alkolsüz içecekler' hangi ürün grubuna girer?",Ürün grubu (d) kategorisi.
"Coğrafi işaret başvurusunda, başvuru yapanın kimlik bilgilerindeki eksikliklerin giderilmesi için tanınan süre nedir?",Bir ay.
"Başvuru yapanın kimlik bilgileri haricindeki eksikliklerin (Madde 37, 39, 35, 37) giderilmesi için verilen standart süre nedir?",Üç ay.
Eksikliklerin giderilmesi için başvuru sahibine en fazla kaç kez ek süre verilebilir?,İki defayı geçmemek üzere üçer aylık ek süre.
"Kurum, başvuru kapsamındaki teknik bilgileri değerlendirmek için ilgili kuruluşlardan ne kadar sürede görüş ister?",Bir ay içinde gönderilmek üzere.
"Yabancı ülke kaynaklı başvurularda, ibarenin kaynak ülkede korunduğunu gösteren belge hangi dilde sunulmalıdır?",Resmi belgenin aslı (veya onaylı sureti) ve yeminli tercüman onaylı Türkçe çevirisi.
Türkiye'de korunan bir coğrafi işaret ile aynı olan yabancı başvurularda hangi risk göz önünde bulundurulur?,Tüketici tarafından birbiriyle karıştırılma riski.
Karıştırılma riski olan yabancı kaynaklı coğrafi işaretlerin kullanımına hangi şartla izin verilir?,Üretildiği kaynak ülkenin açık ve görülebilir şekilde belirtilmesi halinde.
